SN,open,high,low,close,change,pct_change,turnover,date
166,"2,758.99","2,777.86","2,758.98","2,765.43",7.90,0.29,"3,929,261,627.00",2021-11-22
167,"2,771.75","2,779.84","2,750.01","2,757.53",-11.60,-0.42,"4,357,309,319.00",2021-11-21
168,"2,806.13","2,808.72","2,760.79","2,769.13",-32.39,-1.16,"6,271,867,230.00",2021-11-18
169,"2,795.19","2,825.89","2,795.19","2,801.52",16.95,0.61,"7,379,446,820.00",2021-11-17
170,"2,720.59","2,784.58","2,717.92","2,784.58",69.22,2.55,"5,521,650,856.75",2021-11-16
171,"2,688.06","2,728.32","2,685.81","2,715.35",26.44,0.98,"4,734,651,444.00",2021-11-15
172,"2,694.05","2,704.47","2,668.82","2,688.92",-1.38,-0.05,"4,096,219,525.40",2021-11-14
173,"2,750.03","2,750.03","2,687.83","2,690.29",-59.57,-2.17,"5,119,602,540.00",2021-11-11
174,"2,831.00","2,831.81","2,730.44","2,749.85",-79.79,-2.82,"6,527,729,547.00",2021-11-09
175,"2,854.38","2,862.96","2,821.73","2,829.64",-19.20,-0.67,"4,420,719,103.00",2021-11-08
176,"2,858.74","2,877.81","2,837.81","2,848.84",5.22,0.18,"6,553,059,152.00",2021-11-03
177,"2,824.83","2,845.06","2,789.59","2,843.62",23.76,0.84,"6,073,716,888.00",2021-11-02
178,"2,852.32","2,865.81","2,804.84","2,819.86",-17.75,-0.63,"7,777,510,778.00",2021-11-01
179,"2,785.95","2,837.74","2,776.05","2,837.61",55.50,1.99,"7,823,226,493.00",2021-10-31
180,"2,768.88","2,783.67","2,747.59","2,782.16",13.04,0.47,"5,395,268,628.00",2021-10-28
181,"2,753.40","2,806.65","2,717.57","2,769.13",18.06,0.66,"6,612,648,840.00",2021-10-27
182,"2,678.86","2,751.09","2,678.86","2,751.07",78.82,2.95,"6,318,340,932.00",2021-10-26
183,"2,588.75","2,672.25","2,588.75","2,672.25",87.63,3.39,"4,308,895,575.00",2021-10-25
184,"2,557.00","2,587.36","2,546.39","2,584.52",27.51,1.08,"2,773,420,135.00",2021-10-24
185,"2,573.05","2,585.21","2,543.11","2,556.95",-14.70,-0.57,"2,635,390,460.00",2021-10-21
186,"2,522.20","2,589.46","2,522.20","2,571.66",60.56,2.41,"2,679,028,155.00",2021-10-20
187,"2,588.24","2,588.24","2,482.14","2,510.73",-77.33,-2.99,"3,783,422,995.00",2021-10-19
188,"2,656.04","2,656.04","2,582.71","2,587.45",-69.51,-2.62,"2,966,899,791.00",2021-10-18
189,"2,644.41","2,665.42","2,625.13","2,656.96",17.59,0.67,"1,497,375,371.00",2021-10-17
190,"2,667.59","2,669.51","2,616.75","2,639.37",-23.19,-0.87,"3,639,468,093.00",2021-10-11
191,"2,687.19","2,718.53","2,654.75","2,662.58",-18.53,-0.69,"4,498,043,581.00",2021-10-10
192,"2,614.74","2,681.10","2,614.74","2,681.10",68.47,2.62,"4,500,658,142.00",2021-10-06
193,"2,569.79","2,619.85","2,569.79","2,612.65",41.84,1.63,"2,996,819,683.00",2021-10-05
194,"2,577.36","2,596.31","2,542.11","2,570.81",-6.68,-0.26,"3,627,799,935.00",2021-10-04
195,"2,637.36","2,640.41","2,573.31","2,577.49",-55.93,-2.12,"4,113,814,246.00",2021-10-03
196,"2,667.45","2,687.02","2,630.58","2,633.42",-32.51,-1.22,"3,700,029,507.00",2021-09-30
197,"2,616.78","2,665.93","2,579.82","2,665.93",50.58,1.93,"5,028,555,092.00",2021-09-29
198,"2,683.60","2,694.97","2,602.38","2,615.40",-70.01,-2.61,"5,745,488,179.00",2021-09-28
199,"2,762.60","2,769.10","2,678.36","2,685.41",-73.05,-2.65,"5,120,973,096.00",2021-09-27
200,"2,836.36","2,844.09","2,756.51","2,758.48",-61.27,-2.17,"6,500,117,780.00",2021-09-26
201,"2,833.52","2,882.32","2,804.53","2,819.65",2.70,0.10,"7,726,371,029.00",2021-09-23
202,"2,719.91","2,818.86","2,719.91","2,816.95",104.88,3.87,"6,179,300,158.00",2021-09-22
203,"2,693.42","2,766.41","2,615.49","2,712.07",13.83,0.51,"7,364,798,652.00",2021-09-21
204,"2,817.98","2,818.49","2,698.24","2,698.24",-114.02,-4.05,"8,493,401,009.00",2021-09-20
205,"2,889.21","2,889.21","2,795.51","2,812.38",-76.65,-2.65,"9,033,900,623.00",2021-09-16
206,"2,933.23","2,936.77","2,882.10","2,889.03",-40.26,-1.37,"5,358,097,251.00",2021-09-15
207,"2,950.37","2,963.65","2,916.77","2,929.28",-18.54,-0.63,"5,195,295,443.00",2021-09-14
208,"2,962.81","2,984.28","2,939.96","2,947.69",0.27,0.01,"9,290,554,155.00",2021-09-13
209,"2,887.50","2,947.42","2,887.50","2,947.42",71.43,2.48,"9,440,035,244.00",2021-09-12
210,"2,880.54","2,911.82","2,866.05","2,875.97",-0.62,-0.02,"7,050,770,070.00",2021-09-09
211,"2,940.91","2,940.91","2,874.07","2,876.59",-60.02,-2.04,"6,646,623,427.00",2021-09-08
212,"2,999.62","3,001.10","2,913.01","2,936.60",-44.18,-1.48,"7,495,812,161.00",2021-09-07
213,"2,816.93","2,980.79","2,805.00","2,980.78",161.94,5.74,"9,826,222,807.00",2021-09-06
214,"2,928.80","2,928.80","2,779.33","2,818.72",-108.26,-3.70,"11,240,391,045.00",2021-09-05
215,"2,976.17","2,993.40","2,916.26","2,926.89",-50.13,-1.68,"9,505,970,822.00",2021-09-02
216,"2,977.28","3,018.64","2,961.12","2,977.02",1.18,0.04,"9,351,799,655.00",2021-09-01
217,"3,047.26","3,047.26","2,970.51","2,975.84",-69.05,-2.27,"13,259,696,107.00",2021-08-31
218,"3,105.74","3,115.80","3,039.03","3,044.86",-49.18,-1.59,"15,651,244,505.00",2021-08-29
219,"3,085.04","3,107.57","3,069.88","3,094.05",17.60,0.57,"13,421,974,792.00",2021-08-26
220,"3,126.02","3,126.02","3,068.90","3,076.45",-48.42,-1.55,"12,092,103,504.00",2021-08-25
221,"3,186.47","3,186.47","3,122.31","3,124.87",-56.03,-1.76,"16,124,468,060.00",2021-08-24
222,"3,208.53","3,226.89","3,178.58","3,180.78",-18.24,-0.57,"20,499,210,767.00",2021-08-19
223,"3,172.29","3,220.33","3,154.10","3,198.60",38.28,1.21,"21,313,489,269.00",2021-08-18
224,"3,165.69","3,176.31","3,154.98","3,160.31",0.23,0.01,"18,204,939,237.00",2021-08-17
225,"3,165.09","3,169.18","3,138.10","3,160.05",5.72,0.18,"15,930,897,938.00",2021-08-16
226,"3,170.65","3,187.14","3,105.32","3,154.03",-24.88,-0.78,"21,647,600,655.00",2021-08-15
227,"3,172.75","3,188.93","3,167.79","3,179.00",16.41,0.52,"17,513,276,115.00",2021-08-12
228,"3,172.54","3,197.00","3,158.73","3,162.59",0.94,0.03,"15,455,941,754.00",2021-08-11
229,"3,120.29","3,164.34","3,114.77","3,161.44",51.86,1.67,"17,846,147,279.00",2021-08-10
230,"3,113.95","3,121.72","3,098.90","3,109.66",1.54,0.05,"14,137,338,881.00",2021-08-09
231,"3,117.02","3,121.14","3,099.18","3,108.12",0.66,0.02,"14,308,136,887.00",2021-08-08
232,"3,130.54","3,136.79","3,102.08","3,107.45",-16.00,-0.51,"14,316,249,965.00",2021-08-05
233,"3,126.99","3,140.38","3,121.13","3,123.24",12.15,0.39,"15,595,794,271.00",2021-08-04
234,"3,094.24","3,111.09","3,092.61","3,111.09",26.02,0.84,"11,529,217,775.00",2021-08-03
235,"3,087.91","3,100.80","3,079.48","3,085.07",4.06,0.13,"10,983,599,094.00",2021-08-02
236,"3,088.44","3,097.67","3,075.90","3,081.05",1.25,0.04,"12,103,871,862.00",2021-08-01
237,"3,103.53","3,107.00","3,076.75","3,079.83",-15.11,-0.49,"10,905,830,064.00",2021-07-29
238,"3,088.45","3,111.28","3,076.04","3,094.94",15.30,0.50,"13,291,954,535.00",2021-07-28
