,Date,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
865,2021-08-10,20.0,20380.0,19972.4,20360.0,210.0,4248534.0,19982.0,378.0
866,2021-08-11,6.0,20400.0,19953.0,19953.0,60.0,1209960.0,20360.0,-407.0
867,2021-08-12,4.0,19951.2,19560.0,19597.0,60.0,1179052.0,19953.0,-356.0
868,2021-08-15,22.0,21200.0,19988.9,20400.0,254.0,5217020.0,19597.0,803.0
869,2021-08-16,6.0,20344.0,19992.0,20344.0,70.0,1404950.0,20400.0,-56.0
870,2021-08-17,4.0,20500.0,20090.0,20090.0,70.0,1414800.0,20344.0,-254.0
871,2021-08-18,10.0,20250.0,20000.0,20000.0,110.0,2215355.0,20090.0,-90.0
872,2021-08-19,8.0,20000.0,19800.0,19960.0,90.0,1788720.0,20000.0,-40.0
873,2021-08-24,7.0,20000.0,19580.0,19580.0,70.0,1390420.0,19960.0,-380.0
874,2021-08-26,7.0,19620.0,19580.0,19580.0,80.0,1567620.0,19580.0,0.0
875,2021-08-29,2.0,19600.0,19501.0,19501.0,20.0,391010.0,19580.0,-79.0
876,2021-08-31,5.0,19800.0,19565.0,19700.0,60.0,1180650.0,19501.0,199.0
877,2021-09-01,3.0,19850.0,19700.0,19850.0,30.0,592500.0,19700.0,150.0
878,2021-09-02,1.0,19466.0,19466.0,19466.0,10.0,194660.0,19850.0,-384.0
879,2021-09-05,7.0,19700.0,19257.0,19265.0,80.0,1556380.0,19466.0,-201.0
880,2021-09-06,7.0,19500.0,19000.0,19500.0,80.0,1546340.0,19265.0,235.0
881,2021-09-07,47.0,20699.0,19890.0,20480.0,645.0,13038998.0,19500.0,980.0
882,2021-09-08,16.0,20800.0,20070.4,20070.4,265.0,5411758.0,20480.0,-409.6
883,2021-09-09,4.0,20100.0,19500.0,19500.0,60.0,1181940.0,20070.4,-570.4
884,2021-09-12,26.0,20300.0,18995.0,19400.4,370.0,7102446.0,19500.0,-99.6
885,2021-09-13,21.0,19630.0,18850.0,19630.0,320.0,6184842.5,19400.4,229.6
886,2021-09-14,4.0,20022.4,19650.0,19650.0,40.0,796948.0,19630.0,20.0
887,2021-09-15,5.0,19650.0,19400.0,19550.0,70.0,1369000.0,19650.0,-100.0
888,2021-09-16,7.0,19700.0,19159.0,19400.0,80.0,1546330.0,19550.0,-150.0
