,Date,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
312,2021-02-22,64.0,8500.0,8150.0,8269.0,1609.0,13265072.0,8550.0,-281.0
313,2021-02-23,89.0,8350.0,7944.0,8350.0,3292.0,26706283.0,8269.0,81.0
314,2021-02-24,53.0,8590.0,8301.0,8355.0,1593.0,13423829.0,8350.0,5.0
316,2021-02-28,83.0,8415.0,8154.0,8154.0,2602.0,21439814.0,8188.0,-34.0
317,2021-03-01,98.0,8561.0,8202.0,8449.0,4105.0,34248468.0,8154.0,295.0
318,2021-03-02,471.0,9293.0,8399.0,9293.0,15215.0,138491661.0,8449.0,844.0
319,2021-03-03,302.0,10222.0,9101.0,10222.0,9310.0,93989967.0,9293.0,929.0
320,2021-03-04,225.0,11244.0,10426.0,11000.0,6431.0,70477068.0,10222.0,778.0
321,2021-03-07,213.0,10800.0,10153.0,10450.0,5216.0,54351979.0,11000.0,-550.0
322,2021-03-09,97.0,10313.0,10050.0,10299.0,1917.0,19528064.0,10450.0,-151.0
323,2021-03-10,168.0,11328.0,9961.0,11199.0,5783.0,61218688.0,10299.0,900.0
324,2021-03-14,99.0,11422.0,10495.0,10553.0,1723.0,18468305.0,11199.0,-646.0
325,2021-03-15,116.0,10900.0,10193.0,10720.0,2819.0,30061791.0,10553.0,167.0
326,2021-03-16,111.0,10900.0,10500.0,10500.0,2139.0,22725567.0,10720.0,-220.0
327,2021-03-17,107.0,11000.0,10425.0,10630.0,2524.0,27026383.0,10500.0,130.0
328,2021-03-18,78.0,10800.0,10486.0,10510.0,2449.0,25966421.0,10630.0,-120.0
329,2021-03-21,135.0,10719.0,10434.0,10550.0,3318.0,35044496.0,10510.0,40.0
330,2021-03-22,86.0,10710.0,10430.0,10500.0,3587.0,37800274.0,10550.0,-50.0
331,2021-03-23,246.0,11550.0,10500.0,11550.0,11318.0,125899549.0,10500.0,1050.0
332,2021-03-24,301.0,12705.0,12127.0,12705.0,10179.0,128423196.0,11550.0,1155.0
333,2021-03-25,273.0,13780.0,12501.0,13235.0,6740.0,88527145.0,12705.0,530.0
334,2021-03-29,153.0,13300.0,12500.0,12590.0,3041.0,38568322.0,13235.0,-645.0
335,2021-03-30,81.0,12830.0,12360.0,12500.0,2546.0,32046835.0,12590.0,-90.0
336,2021-03-31,164.0,12561.0,11662.0,12200.0,4536.0,55056656.0,12500.0,-300.0
337,2021-04-01,186.0,13317.0,12000.0,13317.0,5972.0,73935100.0,12200.0,1117.0
338,2021-04-04,219.0,13320.0,12500.0,12700.0,5853.0,74250019.0,13317.0,-617.0
339,2021-04-05,242.0,13450.0,12446.0,13102.0,8435.0,109983730.0,12700.0,402.0
340,2021-04-06,237.0,12447.0,11792.0,11792.0,4263.0,50762491.0,13102.0,-1310.0
341,2021-04-07,421.0,11590.0,10765.0,11298.0,9232.0,103860136.0,11792.0,-494.0
343,2021-04-12,126.0,11345.0,10944.0,10990.0,1916.0,21200861.0,11201.0,-211.0
344,2021-04-13,170.0,11445.0,10586.0,11200.0,3122.0,33942236.0,10990.0,210.0
345,2021-04-15,146.0,11350.0,10801.0,10898.0,3023.0,33022951.0,11200.0,-302.0
346,2021-04-18,189.0,11110.0,10477.0,10518.0,3621.0,38365187.0,10898.0,-380.0
347,2021-04-19,143.0,10500.0,10191.0,10191.0,3494.0,35950748.0,10518.0,-327.0
348,2021-04-20,163.0,10612.0,10000.0,10295.0,4419.0,45710705.0,10191.0,104.0
349,2021-04-21,66.0,10444.0,10160.0,10290.0,1130.0,11604300.0,10295.0,-5.0
350,2021-04-22,80.0,10402.0,10100.0,10300.0,1598.0,16390381.0,10290.0,10.0
351,2021-04-25,181.0,10300.0,9712.0,9900.0,4242.0,42056647.0,10300.0,-400.0
352,2021-04-26,199.0,9999.0,9220.0,9425.0,3780.0,36189620.0,9900.0,-475.0
353,2021-04-27,109.0,9950.0,9359.0,9905.0,2542.0,24817713.0,9425.0,480.0
354,2021-04-28,126.0,10300.0,9611.0,9825.0,3361.0,33723100.0,9905.0,-80.0
355,2021-04-29,69.0,10194.0,9850.0,10100.0,1105.0,11054810.0,9825.0,275.0
356,2021-05-02,160.0,10500.0,10100.0,10210.0,4014.0,40974928.0,10100.0,110.0
357,2021-05-03,141.0,10414.0,10005.0,10021.0,2202.0,22516830.0,10210.0,-189.0
358,2021-05-04,92.0,10221.0,9900.0,10145.0,1675.0,16831693.0,10021.0,124.0
359,2021-05-05,101.0,10300.0,10000.0,10000.0,2445.0,24615235.0,10145.0,-145.0
360,2021-05-06,56.0,10199.0,9850.0,10000.0,1297.0,13006350.0,10000.0,0.0
361,2021-05-09,93.0,10230.0,9950.0,9985.0,2845.0,28723040.0,10000.0,-15.0
363,2021-05-11,467.0,11170.0,10220.0,11010.0,9800.0,105299075.0,10199.0,811.0
364,2021-05-12,181.0,11118.0,10700.0,10760.0,3210.0,34807459.0,11010.0,-250.0
365,2021-05-13,219.0,10900.0,10452.0,10595.0,3650.0,38645505.0,10760.0,-165.0
366,2021-05-16,223.0,11008.0,10500.0,10610.0,4679.0,49739716.0,10595.0,15.0
367,2021-05-17,165.0,10799.0,10610.0,10690.0,2597.0,27735610.0,10610.0,80.0
368,2021-05-18,183.0,10812.0,10600.0,10760.0,3495.0,37593132.0,10690.0,70.0
369,2021-05-19,250.0,11194.0,10700.0,10770.0,4373.0,47539758.0,10760.0,10.0
370,2021-05-20,172.0,10870.0,10665.0,10770.0,2819.0,30299329.0,10770.0,0.0
371,2021-05-23,152.0,11016.0,10555.0,10900.0,2509.0,27194139.0,10770.0,130.0
372,2021-05-24,116.0,11111.0,10690.0,10750.0,2106.0,22754976.0,10900.0,-150.0
373,2021-05-25,288.0,10980.0,10795.0,10884.0,4165.0,45311423.0,10750.0,134.0
374,2021-05-27,538.0,11972.0,10900.0,11750.0,9582.0,109233282.0,10884.0,866.0
375,2021-05-30,330.0,12203.0,11450.0,11651.0,5227.0,61524171.0,11750.0,-99.0
376,2021-05-31,313.0,11880.0,11151.0,11170.0,4776.0,54091573.0,11651.0,-481.0
377,2021-06-01,192.0,11400.0,10700.0,11040.0,2740.0,30283610.0,11170.0,-130.0
378,2021-06-02,97.0,11400.0,10700.0,11115.0,1477.0,16489945.0,11040.0,75.0
379,2021-06-03,122.0,11337.0,11100.0,11100.0,2713.0,30196792.0,11115.0,-15.0
380,2021-06-06,165.0,11260.0,10900.0,10965.0,2319.0,25486331.0,11100.0,-135.0
381,2021-06-07,283.0,10965.0,10700.0,10702.0,4582.0,49444735.0,10965.0,-263.0
382,2021-06-08,227.0,11000.0,10775.0,10786.0,4070.0,44116139.0,10702.0,84.0
383,2021-06-09,197.0,11499.0,10750.0,10995.0,3756.0,41014264.0,10786.0,209.0
384,2021-06-10,172.0,11215.0,10544.0,10802.0,2823.0,30775916.0,10995.0,-193.0
385,2021-06-13,176.0,11007.0,10650.0,10701.0,3276.0,35119879.0,10802.0,-101.0
386,2021-06-14,179.0,10780.0,10652.0,10665.0,3858.0,41250384.0,10701.0,-36.0
